"path","file","methods"
"/api/admin/products","src/app/api/admin/products/route.ts","GET|POST"
"/api/admin/profile/ai-control","src/app/api/admin/profile/ai-control/route.ts","POST"
"/api/admin/profile","src/app/api/admin/profile/route.ts","GET|PUT"
"/api/admin/reviews/[id]","src/app/api/admin/reviews/[id]/route.ts","PUT|DELETE"
"/api/admin/reviews/ai-control","src/app/api/admin/reviews/ai-control/route.ts","POST"
"/api/admin/reviews","src/app/api/admin/reviews/route.ts","GET|POST"
"/api/admin/settings/about-us/ai-control","src/app/api/admin/settings/about-us/ai-control/route.ts","POST"
"/api/admin/settings/ai-control","src/app/api/admin/settings/ai-control/route.ts","POST"
"/api/admin/settings/contact-us/ai-control","src/app/api/admin/settings/contact-us/ai-control/route.ts","POST"
"/api/admin/settings/custom-home/ai-control","src/app/api/admin/settings/custom-home/ai-control/route.ts","POST"
"/api/admin/settings/domains","src/app/api/admin/settings/domains/route.ts","GET|POST|PATCH|DELETE"
"/api/admin/settings/test-bale","src/app/api/admin/settings/test-bale/route.ts","POST"
"/api/admin/settings/test-sms","src/app/api/admin/settings/test-sms/route.ts","POST"
"/api/admin/settings/test-telegram","src/app/api/admin/settings/test-telegram/route.ts","POST"
"/api/admin/setup-wizard","src/app/api/admin/setup-wizard/route.ts","POST"
"/api/admin/shoppable/[id]","src/app/api/admin/shoppable/[id]/route.ts","GET|PUT|DELETE"
"/api/admin/shoppable/ai-control","src/app/api/admin/shoppable/ai-control/route.ts","POST"
"/api/admin/shoppable","src/app/api/admin/shoppable/route.ts","GET|POST"
"/api/admin/slider/[id]","src/app/api/admin/slider/[id]/route.ts","PUT|DELETE"
"/api/admin/slider/ai-control","src/app/api/admin/slider/ai-control/route.ts","POST"
"/api/admin/slider","src/app/api/admin/slider/route.ts","GET|POST"
"/api/admin/staff/[id]","src/app/api/admin/staff/[id]/route.ts","PUT|DELETE"
"/api/admin/staff/ai-control","src/app/api/admin/staff/ai-control/route.ts","POST"
"/api/admin/staff","src/app/api/admin/staff/route.ts","GET|POST"
"/api/admin/stories/ai-control","src/app/api/admin/stories/ai-control/route.ts","POST"
"/api/admin/system-tickets/[id]/messages","src/app/api/admin/system-tickets/[id]/messages/route.ts","POST"
"/api/admin/system-tickets/[id]","src/app/api/admin/system-tickets/[id]/route.ts","GET"
"/api/admin/system-tickets/ai-control","src/app/api/admin/system-tickets/ai-control/route.ts","POST"
"/api/admin/system-tickets","src/app/api/admin/system-tickets/route.ts","GET|POST"
"/api/admin/tickets/[id]/messages","src/app/api/admin/tickets/[id]/messages/route.ts","POST"
"/api/admin/tickets/[id]","src/app/api/admin/tickets/[id]/route.ts","GET|PUT"
"/api/admin/tickets/ai-control","src/app/api/admin/tickets/ai-control/route.ts","POST"
"/api/admin/tickets","src/app/api/admin/tickets/route.ts","GET"
"/api/admin/users/[id]","src/app/api/admin/users/[id]/route.ts","PATCH"
"/api/admin/users/ai-control","src/app/api/admin/users/ai-control/route.ts","POST"
"/api/admin/users","src/app/api/admin/users/route.ts","GET|POST"
"/api/admin/wholesale/requests","src/app/api/admin/wholesale/requests/route.ts","GET"
"/api/auth/customer/logout","src/app/api/auth/customer/logout/route.ts","POST"
"/api/auth/customer/register","src/app/api/auth/customer/register/route.ts","POST"
"/api/auth/customer","src/app/api/auth/customer/route.ts","POST"
"/api/auth/login","src/app/api/auth/login/route.ts","POST"
"/api/auth/logout","src/app/api/auth/logout/route.ts","POST"
"/api/auth/merchant-login","src/app/api/auth/merchant-login/route.ts","POST"
"/api/auth/otp/send","src/app/api/auth/otp/send/route.ts","POST"
"/api/auth/otp/verify","src/app/api/auth/otp/verify/route.ts","POST"
"/api/auth/register","src/app/api/auth/register/route.ts","POST"
"/api/auth/register/send-otp","src/app/api/auth/register/send-otp/route.ts","POST"
"/api/auth/register/verify-otp","src/app/api/auth/register/verify-otp/route.ts","POST"
"/api/bale/gateway","src/app/api/bale/gateway/route.ts","POST"
"/api/blog/[slug]","src/app/api/blog/[slug]/route.ts","GET|POST"
"/api/blog","src/app/api/blog/route.ts","GET"
"/api/cart/reorder","src/app/api/cart/reorder/route.ts","POST"
"/api/cart/validate","src/app/api/cart/validate/route.ts","POST"
"/api/chat/message","src/app/api/chat/message/route.ts","POST"
"/api/chat/session/[id]","src/app/api/chat/session/[id]/route.ts","GET|PUT"
"/api/chat/session","src/app/api/chat/session/route.ts","POST"
"/api/chat/settings","src/app/api/chat/settings/route.ts","GET"
"/api/chat/upload","src/app/api/chat/upload/route.ts","POST"
"/api/checkout/discount","src/app/api/checkout/discount/route.ts","POST"
"/api/checkout","src/app/api/checkout/route.ts","POST"
"/api/checkout/verify-status","src/app/api/checkout/verify-status/route.ts","GET"
"/api/contact-us","src/app/api/contact-us/route.ts","POST"
"/api/contact-us/track","src/app/api/contact-us/track/route.ts","POST"
"/api/create-shop","src/app/api/create-shop/route.ts","POST"
"/api/discounts/automatic","src/app/api/discounts/automatic/route.ts","GET"
"/api/downloads/[token]","src/app/api/downloads/[token]/route.ts","GET"
"/api/health/liveness","src/app/api/health/liveness/route.ts","GET"
"/api/health/readiness","src/app/api/health/readiness/route.ts","GET"
"/api/media/[id]","src/app/api/media/[id]/route.ts","PATCH|DELETE"
"/api/media","src/app/api/media/route.ts","GET|POST"
"/api/orders/[id]/proforma","src/app/api/orders/[id]/proforma/route.ts","GET"
"/api/payment/verify","src/app/api/payment/verify/route.ts","GET|POST"
"/api/products/[id]/notify-me","src/app/api/products/[id]/notify-me/route.ts","POST"
"/api/products/[id]/reviews","src/app/api/products/[id]/reviews/route.ts","POST"
"/api/products/notify","src/app/api/products/notify/route.ts","POST"
"/api/profile/addresses/[id]","src/app/api/profile/addresses/[id]/route.ts","PUT|DELETE"
"/api/profile/addresses","src/app/api/profile/addresses/route.ts","POST"
"/api/profile/notifications","src/app/api/profile/notifications/route.ts","GET|PATCH"
"/api/profile/orders/[id]/deliver","src/app/api/profile/orders/[id]/deliver/route.ts","POST"
"/api/profile","src/app/api/profile/route.ts","GET|PUT"
"/api/profile/tickets/[id]/messages","src/app/api/profile/tickets/[id]/messages/route.ts","POST"
"/api/profile/tickets/[id]","src/app/api/profile/tickets/[id]/route.ts","GET"
"/api/profile/tickets","src/app/api/profile/tickets/route.ts","GET|POST"
"/api/reviews/[id]/interact","src/app/api/reviews/[id]/interact/route.ts","POST"
"/api/reviews/upload","src/app/api/reviews/upload/route.ts","POST"
"/api/search","src/app/api/search/route.ts","GET"
"/api/settings/public","src/app/api/settings/public/route.ts","GET"
"/api/settings","src/app/api/settings/route.ts","GET|PUT"
"/api/setup","src/app/api/setup/route.ts","GET"
"/api/shoppable/[slug]","src/app/api/shoppable/[slug]/route.ts","GET"
"/api/shoppable","src/app/api/shoppable/route.ts","GET"
"/api/shoppable/track","src/app/api/shoppable/track/route.ts","POST"
"/api/stories/[id]","src/app/api/stories/[id]/route.ts","PUT|DELETE"
"/api/stories","src/app/api/stories/route.ts","GET|POST"
"/api/super-admin/blog/ai-control","src/app/api/super-admin/blog/ai-control/route.ts","POST"
"/api/super-admin/blog/categories","src/app/api/super-admin/blog/categories/route.ts","GET|POST"
"/api/super-admin/blog/posts/[id]","src/app/api/super-admin/blog/posts/[id]/route.ts","GET|PUT|DELETE"
"/api/super-admin/blog/posts","src/app/api/super-admin/blog/posts/route.ts","GET|POST"
"/api/super-admin/blog/tags","src/app/api/super-admin/blog/tags/route.ts","GET|POST"
"/api/super-admin/blog/upload","src/app/api/super-admin/blog/upload/route.ts","POST"
"/api/super-admin/change-password","src/app/api/super-admin/change-password/route.ts","POST"
"/api/super-admin/collaborators/[id]","src/app/api/super-admin/collaborators/[id]/route.ts","PUT|DELETE"
"/api/super-admin/collaborators","src/app/api/super-admin/collaborators/route.ts","GET|POST"
"/api/super-admin/diagnostics","src/app/api/super-admin/diagnostics/route.ts","GET"
"/api/super-admin/diagnostics/security-tests","src/app/api/super-admin/diagnostics/security-tests/route.ts","GET"
"/api/super-admin/embeddings/batch","src/app/api/super-admin/embeddings/batch/route.ts","GET|POST"
"/api/super-admin/login","src/app/api/super-admin/login/route.ts","POST"
"/api/super-admin/packages/[id]","src/app/api/super-admin/packages/[id]/route.ts","PUT|DELETE"
"/api/super-admin/packages","src/app/api/super-admin/packages/route.ts","GET|POST"
"/api/super-admin/settings","src/app/api/super-admin/settings/route.ts","GET|POST"
"/api/super-admin/settings/test-gateway","src/app/api/super-admin/settings/test-gateway/route.ts","GET|POST"
"/api/super-admin/shops/[id]","src/app/api/super-admin/shops/[id]/route.ts","PATCH|DELETE"
"/api/super-admin/shops","src/app/api/super-admin/shops/route.ts","GET|POST"
"/api/super-admin/system-tickets/[id]/messages","src/app/api/super-admin/system-tickets/[id]/messages/route.ts","POST"
"/api/super-admin/system-tickets/[id]","src/app/api/super-admin/system-tickets/[id]/route.ts","GET|PATCH"
"/api/super-admin/system-tickets","src/app/api/super-admin/system-tickets/route.ts","GET"
"/api/telegram/gateway","src/app/api/telegram/gateway/route.ts","POST"
"/api/track","src/app/api/track/route.ts","POST"
"/api/wholesale/request","src/app/api/wholesale/request/route.ts","GET|POST"
